tick,seconds,player,side,status,metal,energy,maxMetal,maxEnergy,metalIncome,energyIncome,metalDemand,energyDemand,units,buildings,army,builders,unitsLost,buildingsLost,idleBuilders,factories,idleFactories,armyMetal,metalProduced,metalExcess,energyProduced,energyExcess,phase
4800,480,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,48000.0,0.0,480000.0,0.0,mid
5100,510,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,51000.0,0.0,510000.0,0.0,mid
5100,510,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,51000.0,0.0,510000.0,0.0,mid
5400,540,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,54000.0,0.0,540000.0,0.0,mid
5400,540,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,54000.0,0.0,540000.0,0.0,mid
5700,570,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,57000.0,0.0,570000.0,0.0,mid
5700,570,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,57000.0,0.0,570000.0,0.0,mid
6000,600,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,60000.0,0.0,600000.0,0.0,mid
6000,600,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,60000.0,0.0,600000.0,0.0,mid
6300,630,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,63000.0,0.0,630000.0,0.0,mid
6300,630,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,63000.0,0.0,630000.0,0.0,mid
6600,660,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,66000.0,0.0,660000.0,0.0,mid
6600,660,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,66000.0,0.0,660000.0,0.0,mid
6900,690,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,69000.0,0.0,690000.0,0.0,mid
6900,690,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,69000.0,0.0,690000.0,0.0,mid
7200,720,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,72000.0,0.0,720000.0,0.0,mid
7200,720,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,72000.0,0.0,720000.0,0.0,mid
7500,750,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,75000.0,0.0,750000.0,0.0,mid
7500,750,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,75000.0,0.0,750000.0,0.0,mid
7800,780,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,78000.0,0.0,780000.0,0.0,mid
7800,780,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,78000.0,0.0,780000.0,0.0,mid
8100,810,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,81000.0,0.0,810000.0,0.0,mid
8100,810,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,81000.0,0.0,810000.0,0.0,mid
8400,840,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,84000.0,0.0,840000.0,0.0,mid
8400,840,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,84000.0,0.0,840000.0,0.0,mid
8700,870,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,87000.0,0.0,870000.0,0.0,mid
8700,870,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,87000.0,0.0,870000.0,0.0,mid
9000,900,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,90000.0,0.0,900000.0,0.0,mid
9000,900,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,90000.0,0.0,900000.0,0.0,mid
