tick,seconds,player,side,status,metal,energy,maxMetal,maxEnergy,metalIncome,energyIncome,metalDemand,energyDemand,units,buildings,army,builders,unitsLost,buildingsLost,idleBuilders,factories,idleFactories,armyMetal,metalProduced,metalExcess,energyProduced,energyExcess,phase
600,60,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,120.0,0.0,6000.0,300.0,early
600,60,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,126.0,0.0,6000.0,300.0,mid
700,70,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,140.0,0.0,7000.0,350.0,early
700,70,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,147.0,0.0,7000.0,350.0,mid
800,80,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,160.0,0.0,8000.0,400.0,early
800,80,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,168.0,0.0,8000.0,400.0,mid
900,90,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,180.0,0.0,9000.0,450.0,early
900,90,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,189.0,0.0,9000.0,450.0,mid
1000,100,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,200.0,0.0,10000.0,500.0,early
1000,100,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,210.0,0.0,10000.0,500.0,mid
1100,110,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,220.0,0.0,11000.0,550.0,early
1100,110,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,231.0,0.0,11000.0,550.0,mid
1200,120,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,240.0,0.0,12000.0,600.0,early
1200,120,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,252.0,0.0,12000.0,600.0,mid
1300,130,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,260.0,0.0,13000.0,650.0,early
1300,130,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,273.0,0.0,13000.0,650.0,mid
1400,140,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,280.0,0.0,14000.0,700.0,early
1400,140,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,294.0,0.0,14000.0,700.0,mid
1500,150,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,300.0,0.0,15000.0,750.0,early
1500,150,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,315.0,0.0,15000.0,750.0,mid
1600,160,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,320.0,0.0,16000.0,800.0,early
1600,160,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,336.0,0.0,16000.0,800.0,mid
1700,170,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,340.0,0.0,17000.0,850.0,early
1700,170,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,357.0,0.0,17000.0,850.0,mid
1800,180,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,360.0,0.0,18000.0,900.0,early
1800,180,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,378.0,0.0,18000.0,900.0,mid
1900,190,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,380.0,0.0,19000.0,950.0,early
1900,190,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,399.0,0.0,19000.0,950.0,mid
2000,200,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,400.0,0.0,20000.0,1000.0,early
2000,200,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,420.0,0.0,20000.0,1000.0,mid
2100,210,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,420.0,0.0,21000.0,1050.0,early
2100,210,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,441.0,0.0,21000.0,1050.0,mid
2200,220,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,440.0,0.0,22000.0,1100.0,early
2200,220,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,462.0,0.0,22000.0,1100.0,mid
2300,230,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,460.0,0.0,23000.0,1150.0,early
2300,230,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,483.0,0.0,23000.0,1150.0,mid
2400,240,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,480.0,0.0,24000.0,1200.0,early
2400,240,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,504.0,0.0,24000.0,1200.0,mid
2500,250,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,500.0,0.0,25000.0,1250.0,early
2500,250,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,525.0,0.0,25000.0,1250.0,mid
2600,260,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,520.0,0.0,26000.0,1300.0,early
2600,260,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,546.0,0.0,26000.0,1300.0,mid
2700,270,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,540.0,0.0,27000.0,1350.0,early
2700,270,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,567.0,0.0,27000.0,1350.0,mid
2800,280,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,560.0,0.0,28000.0,1400.0,early
2800,280,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,588.0,0.0,28000.0,1400.0,mid
2900,290,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,580.0,0.0,29000.0,1450.0,early
2900,290,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,609.0,0.0,29000.0,1450.0,mid
3000,300,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,600.0,0.0,30000.0,1500.0,mid
3000,300,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,630.0,0.0,30000.0,1500.0,mid
3100,310,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,620.0,0.0,31000.0,1550.0,mid
3100,310,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,651.0,0.0,31000.0,1550.0,mid
3200,320,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,640.0,0.0,32000.0,1600.0,mid
3200,320,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,672.0,0.0,32000.0,1600.0,mid
3300,330,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,660.0,0.0,33000.0,1650.0,mid
3300,330,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,693.0,0.0,33000.0,1650.0,mid
3400,340,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,680.0,0.0,34000.0,1700.0,mid
3400,340,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,714.0,0.0,34000.0,1700.0,mid
3500,350,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,700.0,0.0,35000.0,1750.0,mid
3500,350,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,735.0,0.0,35000.0,1750.0,mid
3600,360,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,720.0,0.0,36000.0,1800.0,mid
3600,360,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,756.0,0.0,36000.0,1800.0,mid
3700,370,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,740.0,0.0,37000.0,1850.0,mid
3700,370,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,777.0,0.0,37000.0,1850.0,mid
3800,380,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,760.0,0.0,38000.0,1900.0,mid
3800,380,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,798.0,0.0,38000.0,1900.0,mid
3900,390,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,780.0,0.0,39000.0,1950.0,mid
3900,390,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,819.0,0.0,39000.0,1950.0,mid
4000,400,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,800.0,0.0,40000.0,2000.0,mid
4000,400,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,840.0,0.0,40000.0,2000.0,mid
4100,410,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,820.0,0.0,41000.0,2050.0,mid
4100,410,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,861.0,0.0,41000.0,2050.0,mid
4200,420,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,840.0,0.0,42000.0,2100.0,mid
4200,420,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,882.0,0.0,42000.0,2100.0,mid
4300,430,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,860.0,0.0,43000.0,2150.0,mid
4300,430,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,903.0,0.0,43000.0,2150.0,mid
4400,440,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,880.0,0.0,44000.0,2200.0,mid
4400,440,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,924.0,0.0,44000.0,2200.0,mid
4500,450,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,900.0,0.0,45000.0,2250.0,mid
4500,450,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,945.0,0.0,45000.0,2250.0,mid
4600,460,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,920.0,0.0,46000.0,2300.0,mid
4600,460,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,966.0,0.0,46000.0,2300.0,mid
4700,470,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,940.0,0.0,47000.0,2350.0,mid
4700,470,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,987.0,0.0,47000.0,2350.0,mid
4800,480,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,960.0,0.0,48000.0,2400.0,mid
4800,480,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1008.0,0.0,48000.0,2400.0,mid
4900,490,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,980.0,0.0,49000.0,2450.0,mid
4900,490,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1029.0,0.0,49000.0,2450.0,mid
5000,500,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1000.0,0.0,50000.0,2500.0,mid
5000,500,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1050.0,0.0,50000.0,2500.0,mid
5100,510,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1020.0,0.0,51000.0,2550.0,mid
5100,510,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1071.0,0.0,51000.0,2550.0,mid
5200,520,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1040.0,0.0,52000.0,2600.0,mid
5200,520,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1092.0,0.0,52000.0,2600.0,mid
5300,530,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1060.0,0.0,53000.0,2650.0,mid
5300,530,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1113.0,0.0,53000.0,2650.0,mid
5400,540,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1080.0,0.0,54000.0,2700.0,mid
5400,540,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1134.0,0.0,54000.0,2700.0,mid
5500,550,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1100.0,0.0,55000.0,2750.0,mid
5500,550,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1155.0,0.0,55000.0,2750.0,mid
5600,560,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1120.0,0.0,56000.0,2800.0,mid
5600,560,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1176.0,0.0,56000.0,2800.0,mid
5700,570,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1140.0,0.0,57000.0,2850.0,mid
5700,570,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1197.0,0.0,57000.0,2850.0,mid
5800,580,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1160.0,0.0,58000.0,2900.0,mid
5800,580,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1218.0,0.0,58000.0,2900.0,mid
5900,590,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1180.0,0.0,59000.0,2950.0,mid
5900,590,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1239.0,0.0,59000.0,2950.0,mid
6000,600,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1200.0,0.0,60000.0,3000.0,mid
6000,600,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1260.0,0.0,60000.0,3000.0,mid
6100,610,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1220.0,0.0,61000.0,3050.0,mid
6100,610,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1281.0,0.0,61000.0,3050.0,mid
6200,620,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1240.0,0.0,62000.0,3100.0,mid
6200,620,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1302.0,0.0,62000.0,3100.0,mid
6300,630,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1260.0,0.0,63000.0,3150.0,mid
6300,630,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1323.0,0.0,63000.0,3150.0,mid
6400,640,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1280.0,0.0,64000.0,3200.0,mid
6400,640,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1344.0,0.0,64000.0,3200.0,mid
6500,650,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1300.0,0.0,65000.0,3250.0,mid
6500,650,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1365.0,0.0,65000.0,3250.0,mid
6600,660,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1320.0,0.0,66000.0,3300.0,mid
6600,660,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1386.0,0.0,66000.0,3300.0,mid
6700,670,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1340.0,0.0,67000.0,3350.0,mid
6700,670,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1407.0,0.0,67000.0,3350.0,mid
6800,680,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1360.0,0.0,68000.0,3400.0,mid
6800,680,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1428.0,0.0,68000.0,3400.0,mid
6900,690,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1380.0,0.0,69000.0,3450.0,mid
6900,690,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1449.0,0.0,69000.0,3450.0,mid
7000,700,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1400.0,0.0,70000.0,3500.0,mid
7000,700,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1470.0,0.0,70000.0,3500.0,mid
7100,710,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1420.0,0.0,71000.0,3550.0,mid
7100,710,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1491.0,0.0,71000.0,3550.0,mid
7200,720,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1440.0,0.0,72000.0,3600.0,mid
7200,720,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1512.0,0.0,72000.0,3600.0,mid
7300,730,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1460.0,0.0,73000.0,3650.0,mid
7300,730,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1533.0,0.0,73000.0,3650.0,mid
7400,740,0,ARM,alive,0.0,100.0,1000.0,5000.0,0.0,0.0,5.0,50.0,8,4,3,2,0,0,1,1,1,100.0,1480.0,0.0,74000.0,3700.0,mid
7400,740,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,1554.0,0.0,74000.0,3700.0,mid
